"","lon","lat","date","time","dateTime"
"1",-117.210141,32.797593,"2011-08-17","22:12:13",2011-08-17 22:12:13
"2",-117.208523,32.79495,"2011-08-17","22:12:23",2011-08-17 22:12:23
"3",-117.207537,32.792435,"2011-08-17","22:12:33",2011-08-17 22:12:33
"4",-117.207092,32.789795,"2011-08-17","22:12:43",2011-08-17 22:12:43
"5",-117.207246,32.7869,"2011-08-17","22:12:53",2011-08-17 22:12:53
"6",-117.207729,32.78414,"2011-08-17","22:13:03",2011-08-17 22:13:03
"7",-117.208287,32.781148,"2011-08-17","22:13:13",2011-08-17 22:13:13
"8",-117.20871,32.778149,"2011-08-17","22:13:23",2011-08-17 22:13:23
"9",-117.208113,32.775202,"2011-08-17","22:13:33",2011-08-17 22:13:33
"10",-117.207342,32.772395,"2011-08-17","22:13:43",2011-08-17 22:13:43
"11",-117.20663,32.76958,"2011-08-17","22:13:53",2011-08-17 22:13:53
"12",-117.205874,32.766583,"2011-08-17","22:14:03",2011-08-17 22:14:03
"13",-117.205091,32.76361,"2011-08-17","22:14:13",2011-08-17 22:14:13
"14",-117.20436,32.760665,"2011-08-17","22:14:23",2011-08-17 22:14:23
"15",-117.20356,32.757646,"2011-08-17","22:14:33",2011-08-17 22:14:33
"16",-117.201789,32.754884,"2011-08-17","22:14:43",2011-08-17 22:14:43
"17",-117.198912,32.752823,"2011-08-17","22:14:53",2011-08-17 22:14:53
"18",-117.196573,32.750406,"2011-08-17","22:15:03",2011-08-17 22:15:03
"19",-117.194138,32.748096,"2011-08-17","22:15:13",2011-08-17 22:15:13
"20",-117.191064,32.746425,"2011-08-17","22:15:23",2011-08-17 22:15:23
"21",-117.187862,32.74492,"2011-08-17","22:15:33",2011-08-17 22:15:33
"22",-117.184518,32.743347,"2011-08-17","22:15:43",2011-08-17 22:15:43
"23",-117.181122,32.741756,"2011-08-17","22:15:53",2011-08-17 22:15:53
"24",-117.178714,32.73965,"2011-08-17","22:16:03",2011-08-17 22:16:03
"25",-117.176608,32.737189,"2011-08-17","22:16:13",2011-08-17 22:16:13
"26",-117.174741,32.73505,"2011-08-17","22:16:23",2011-08-17 22:16:23
"27",-117.173166,32.733232,"2011-08-17","22:16:33",2011-08-17 22:16:33
"28",-117.171415,32.731145,"2011-08-17","22:16:43",2011-08-17 22:16:43
"29",-117.169645,32.729112,"2011-08-17","22:16:53",2011-08-17 22:16:53
"30",-117.167984,32.727186,"2011-08-17","22:17:03",2011-08-17 22:17:03
"31",-117.166475,32.725231,"2011-08-17","22:17:13",2011-08-17 22:17:13
"32",-117.16495,32.723562,"2011-08-17","22:17:23",2011-08-17 22:17:23
"33",-117.164689,32.722092,"2011-08-17","22:17:33",2011-08-17 22:17:33
"34",-117.164742,32.720682,"2011-08-17","22:17:43",2011-08-17 22:17:43
"35",-117.164774,32.719452,"2011-08-17","22:17:53",2011-08-17 22:17:53
"36",-117.16481,32.718399,"2011-08-17","22:18:08",2011-08-17 22:18:08
"37",-117.164828,32.718044,"2011-08-17","22:18:45",2011-08-17 22:18:45
"38",-117.16475,32.717006,"2011-08-17","22:18:57",2011-08-17 22:18:57
"39",-117.164594,32.715697,"2011-08-17","22:19:14",2011-08-17 22:19:14
"40",-117.16449,32.714434,"2011-08-17","22:19:28",2011-08-17 22:19:28
"41",-117.164659,32.712887,"2011-08-17","22:19:38",2011-08-17 22:19:38
"42",-117.164702,32.712666,"2011-08-17","22:20:16",2011-08-17 22:20:16
"43",-117.16474,32.711395,"2011-08-17","22:20:37",2011-08-17 22:20:37
"44",-117.165918,32.711376,"2011-08-17","22:20:51",2011-08-17 22:20:51
"45",-117.167204,32.711286,"2011-08-17","22:21:11",2011-08-17 22:21:11
"46",-117.168233,32.710928,"2011-08-17","22:21:30",2011-08-17 22:21:30
"47",-117.168491,32.710425,"2011-08-17","22:22:15",2011-08-17 22:22:15
"48",-117.168378,32.710304,"2011-08-17","22:23:00",2011-08-17 22:23:00
"49",-117.165684,32.710358,"2011-08-17","22:31:42",2011-08-17 22:31:42
"50",-117.166167,32.709786,"2011-08-17","22:32:30",2011-08-17 22:32:30
"51",-117.166192,32.709858,"2011-08-17","22:33:15",2011-08-17 22:33:15
"52",-117.167831,32.710652,"2011-08-18","00:19:59",2011-08-18 00:19:59
"53",-117.167822,32.710395,"2011-08-18","00:20:25",2011-08-18 00:20:25
"54",-117.167995,32.709928,"2011-08-18","00:21:15",2011-08-18 00:21:15
